Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
2032090879,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2032091127,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2032091350,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2032091601,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2032122258,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2032132167,00000101,false,Rx,1,8,00,FF,3C,00,00,E0,00,00,
2032142178,00000102,false,Rx,1,8,02,9A,01,00,00,C8,56,00,
2032152263,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2032190838,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2032191081,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2032191327,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2032191574,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2032222304,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2032232279,00000101,false,Rx,1,8,00,FF,3C,00,00,E0,00,00,
2032242311,00000102,false,Rx,1,8,02,9A,01,00,00,C8,56,00,
2032252302,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2032290819,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2032291056,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2032291295,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2032291550,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2032322451,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2032332370,00000101,false,Rx,1,8,00,FF,3C,00,00,E0,00,00,
2032342369,00000102,false,Rx,1,8,02,9A,01,00,00,C9,56,00,
2032352541,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2032390897,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2032391136,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2032391389,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2032391626,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2032422505,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2032432471,00000101,false,Rx,1,8,00,FF,3C,00,00,E0,00,00,
2032442522,00000102,false,Rx,1,8,02,9A,01,00,00,C9,56,00,
2032452497,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2032491122,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2032491361,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2032491608,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2032491854,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2032522657,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2032532569,00000101,false,Rx,1,8,00,FF,3C,00,00,E0,00,00,
2032542579,00000102,false,Rx,1,8,02,9A,01,00,00,C9,56,00,
2032552595,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2032590941,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2032591175,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2032591425,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2032591689,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2032622706,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2032632672,00000101,false,Rx,1,8,00,FF,3C,00,00,E0,00,00,
2032642705,00000102,false,Rx,1,8,02,9A,01,00,00,C9,56,00,
2032652699,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2032690932,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2032691151,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2032691394,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2032691653,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2032722843,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2032732750,00000101,false,Rx,1,8,00,FF,3C,00,00,E0,00,00,
2032742782,00000102,false,Rx,1,8,02,9A,01,00,00,C9,56,00,
2032752789,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2032791031,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2032791262,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2032791515,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2032791761,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2032808752,00000630,false,Rx,0,8,40,08,10,04,00,00,00,00,
2032822872,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
2032832841,00000101,false,Rx,1,8,00,FF,3C,00,00,E0,00,00,
2032842886,00000102,false,Rx,1,8,02,9A,01,00,00,C9,56,00,
2032853007,00000200,false,Rx,1,8,FF,00,00,00,FA,00,43,B3,
2032890866,00000108,false,Rx,1,8,01,F4,01,0F,B3,01,00,00,
2032891113,00000109,false,Rx,1,8,02,00,00,00,01,20,00,00,
2032891368,00000208,false,Rx,1,8,FF,F4,01,F0,00,00,FA,00,
2032891599,00000209,false,Rx,1,8,02,00,00,00,00,00,00,00,
2032923008,00000100,false,Rx,1,8,00,00,00,00,B3,01,64,00,
